,739146,740535,740399,776327,779289,776284,776183,741265,736379,749206,776568,686564,776408,683081,776519,779454,749849,722181,741271,776096,749529,140819,779561,749294,737316,789859,776449,740561,776100,749478,750044,741143,776223,702618,779471,779636,750478,712098,779647,139836,739287,766637,740487,739365,740815,140978,750291,748912,746703,776114,738524,685598,723642,779424,784845,779382,740176,681840,140947,685987,736357,738360,765964,778934,776533,776473,779052,749620,688326,721305,740090,722069,779132,750802,793061,750836,736120,779080,691010,779649,776577,682053,688548,688408,750697,778882,740499,747931,801741,779344,748848,740355,750670,691327,776573,776522,776506,778964,750771,747109,739897,779271,681536,801746,741552,776587,776606,750785,776424,736375,685744,750471,740020,750298,681902,741358,761446,776430,696430,691081,741591,691201,750717,685740,778953,779050,687229,801695,779381,711814,738186,765837,738291,741462,776592,776530,691488,740134,690960,750138,779313,749555,741654,740848,776464,691220,748345,776411,691185,779303,779284,776149,740740,740725,779522,779580,748746,738634,750234,771575,776166,748616,779472,683005,740933,776498,779543,779512,776133,748653,736623,681809,738494,746674,757411,738238,750729,750738,776341,776264,776147,741237,746686,140888,738466,748835,747346,139727,740512,778909,776489,778929,740635,776320,776260,740359,738635,741223,741373,776126,722070,748763,691119,691288,779634
779580,0.0,0.0,0.0,0.02,0.09,0.03,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.03,0.1,0.0,0.31,0.0,0.03,0.0,0.02,0.12,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.03,0.0,0.15,0.15,0.03,0.03,0.3,0.0,0.04,0.03,0.0,0.0,0.04,0.01,0.0,0.03,0.0,0.04,0.0,0.0,0.0,0.36,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.06,0.06,0.02,0.0,0.27,0.0,0.03,0.31,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.52,0.09,0.26,0.03,0.0,0.0,0.03,0.0,0.18,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.02,0.03,0.0,0.07,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.31,0.27,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.03,0.03,0.03,0.12,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.03,0.1,0.14,0.04,0.0,0.0,0.03,1.0,0.03,0.0,0.0,0.03,0.08,0.03,0.14,0.0,0.0,0.03,0.32,0.22,0.07,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.28,0.0,0.1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.05,0.36
748746,0.04,0.04,0.04,0.07,0.03,0.06,0.04,0.06,0.06,0.36,0.05,0.22,0.07,0.57,0.03,0.07,0.35,0.06,0.06,0.05,0.26,0.04,0.0,0.32,0.03,0.04,0.11,0.08,0.05,0.17,0.27,0.03,0.09,0.37,0.03,0.03,0.39,0.78,0.06,0.01,0.09,0.03,0.03,0.06,0.09,0.03,0.27,0.7,0.35,0.04,0.03,0.32,0.1,0.0,0.03,0.03,0.03,0.55,0.02,0.27,0.03,0.07,0.03,0.03,0.0,0.03,0.0,0.27,0.62,0.06,0.09,0.03,0.03,0.55,0.4,0.28,0.03,0.03,0.54,0.03,0.09,0.27,0.48,0.43,0.36,0.03,0.04,0.27,0.1,0.06,0.28,0.06,0.26,0.3,0.04,0.09,0.03,0.05,0.24,0.36,0.04,0.03,0.44,0.03,0.03,0.06,0.04,0.28,0.03,0.03,0.65,0.43,0.04,0.28,0.27,0.13,0.05,0.09,0.37,0.65,0.06,0.2,0.32,0.21,0.06,0.0,0.21,0.1,0.03,0.07,0.08,0.37,0.03,0.11,0.0,0.05,0.32,0.07,0.65,0.68,0.03,0.26,0.08,0.07,0.07,0.57,0.35,0.02,0.55,0.07,0.03,0.04,0.03,0.11,0.03,0.03,1.0,0.03,0.27,0.27,0.03,0.58,0.07,0.18,0.03,0.03,0.05,0.06,0.02,0.33,0.03,0.57,0.09,0.28,0.12,0.0,0.27,0.27,0.05,0.07,0.05,0.04,0.55,0.05,0.07,0.27,0.57,0.02,0.07,0.08,0.07,0.03,0.03,0.06,0.05,0.06,0.04,0.1,0.04,0.0,0.1,0.68,0.23,0.34,0.0
738634,0.25,0.41,0.41,0.05,0.03,0.03,0.02,0.24,0.07,0.08,0.03,0.04,0.04,0.07,0.03,0.0,0.08,0.04,0.5,0.03,0.07,0.0,0.03,0.14,0.62,0.53,0.03,0.33,0.08,0.03,0.04,0.42,0.03,0.05,0.0,0.0,0.08,0.08,0.03,0.0,0.24,0.03,0.5,0.14,0.25,0.01,0.04,0.07,0.03,0.05,0.32,0.03,0.07,0.0,0.07,0.0,0.32,0.03,0.05,0.04,0.44,0.22,0.07,0.0,0.0,0.03,0.0,0.04,0.03,0.04,0.28,0.16,0.0,0.08,0.04,0.04,0.62,0.0,0.03,0.0,0.0,0.03,0.03,0.07,0.08,0.06,0.41,0.04,0.3,0.07,0.04,0.3,0.07,0.04,0.02,0.0,0.08,0.0,0.06,0.13,0.2,0.0,0.0,0.24,0.62,0.03,0.0,0.04,0.04,0.1,0.07,0.08,0.22,0.04,0.04,0.11,0.04,0.0,0.05,0.07,0.3,0.03,0.14,0.0,0.04,0.0,0.07,0.18,0.0,0.02,0.35,0.05,0.32,0.12,0.05,0.0,0.03,0.24,0.07,0.08,0.03,0.07,0.5,0.24,0.05,0.04,0.05,0.06,0.08,0.0,0.0,0.02,0.42,0.12,0.0,0.0,0.03,1.0,0.04,0.04,0.06,0.08,0.0,0.06,0.55,0.06,0.0,0.03,0.05,0.09,0.32,0.07,0.1,0.04,0.02,0.08,0.04,0.07,0.03,0.0,0.04,0.41,0.08,0.11,0.35,0.07,0.07,0.0,0.42,0.06,0.0,0.0,0.65,0.03,0.08,0.21,0.56,0.21,0.41,0.0,0.07,0.08,0.0,0.03,0.0
750234,0.05,0.05,0.05,0.04,0.04,0.03,0.02,0.07,0.07,0.26,0.03,0.29,0.02,0.29,0.03,0.09,0.32,0.08,0.04,0.06,0.22,0.09,0.0,0.21,0.04,0.05,0.06,0.1,0.05,0.21,0.29,0.04,0.03,0.43,0.03,0.03,0.37,0.24,0.04,0.0,0.06,0.03,0.04,0.03,0.06,0.01,1.0,0.22,0.21,0.08,0.04,0.11,0.08,0.04,0.08,0.0,0.04,0.27,0.03,1.0,0.04,0.04,0.07,0.04,0.0,0.07,0.03,1.0,0.33,0.08,0.07,0.06,0.03,0.32,0.38,0.37,0.04,0.0,0.29,0.0,0.07,0.16,0.27,0.29,0.2,0.07,0.05,1.0,0.04,0.04,0.37,0.04,0.22,0.71,0.05,0.07,0.02,0.03,0.3,0.26,0.05,0.04,0.22,0.04,0.04,0.03,0.05,0.37,0.04,0.03,0.29,0.33,0.05,0.37,0.42,0.08,0.02,0.07,0.43,0.29,0.04,0.16,0.21,0.21,0.08,0.03,0.26,0.09,0.0,0.02,0.05,0.43,0.04,0.06,0.0,0.02,0.11,0.04,0.29,0.3,0.04,0.22,0.1,0.05,0.09,0.35,0.31,0.04,0.32,0.09,0.0,0.02,0.04,0.06,0.06,0.0,0.27,0.04,1.0,0.35,0.06,0.33,0.08,0.21,0.04,0.07,0.03,0.03,0.06,0.47,0.04,0.29,0.07,0.37,0.24,0.0,1.0,0.29,0.06,0.08,0.02,0.05,0.32,0.03,0.09,0.23,0.29,0.03,0.09,0.06,0.09,0.04,0.04,0.03,0.02,0.04,0.05,0.12,0.05,0.0,0.08,0.3,0.19,0.19,0.04
771575,0.08,0.04,0.04,0.02,0.0,0.06,0.0,0.06,0.03,0.32,0.03,0.23,0.02,0.23,0.08,0.03,0.25,0.0,0.03,0.03,0.27,0.02,0.0,0.27,0.04,0.04,0.03,0.12,0.07,0.21,0.33,0.07,0.0,0.25,0.0,0.0,0.41,0.24,0.0,0.0,0.09,0.05,0.03,0.09,0.05,0.01,0.35,0.27,0.36,0.07,0.03,0.22,0.07,0.0,0.06,0.03,0.03,0.27,0.0,0.35,0.04,0.07,0.03,0.03,0.0,0.06,0.06,0.35,0.38,0.0,0.06,0.05,0.03,0.25,0.42,0.29,0.04,0.03,0.44,0.0,0.03,0.24,0.38,0.23,0.32,0.0,0.04,0.35,0.03,0.03,0.35,0.06,0.27,0.45,0.02,0.03,0.0,0.0,0.38,0.32,0.08,0.04,0.27,0.07,0.04,0.0,0.02,0.29,0.04,0.06,0.28,0.32,0.04,0.29,0.19,0.06,0.02,0.03,0.25,0.28,0.06,0.32,0.27,0.21,0.0,0.06,0.17,0.07,0.03,0.03,0.04,0.25,0.07,0.08,0.02,0.02,0.22,0.04,0.28,0.29,0.03,0.27,0.08,0.02,0.05,0.33,0.3,0.04,0.3,0.03,0.07,0.0,0.07,0.08,0.06,0.03,0.27,0.04,0.35,1.0,0.12,0.32,0.03,0.22,0.03,0.06,0.03,0.0,0.08,0.42,0.03,0.23,0.09,0.29,0.12,0.04,0.35,0.28,0.06,0.03,0.02,0.04,0.3,0.02,0.07,0.28,0.23,0.0,0.07,0.03,0.03,0.03,0.03,0.0,0.0,0.03,0.04,0.1,0.04,0.0,0.06,0.29,0.29,0.24,0.0
776166,0.06,0.06,0.06,0.12,0.0,0.11,0.1,0.05,0.11,0.03,0.04,0.09,0.05,0.06,0.32,0.0,0.03,0.03,0.03,0.1,0.05,0.02,0.05,0.03,0.06,0.03,0.13,0.03,0.32,0.02,0.03,0.06,0.1,0.03,0.02,0.02,0.09,0.03,0.0,0.0,0.03,0.1,0.06,0.08,0.07,0.0,0.06,0.03,0.08,0.24,0.03,0.02,0.09,0.03,0.03,0.08,0.03,0.05,0.02,0.06,0.09,0.06,0.24,0.0,0.09,0.08,0.14,0.06,0.05,0.03,0.03,0.1,0.17,0.03,0.06,0.06,0.06,0.06,0.11,0.0,0.21,0.04,0.05,0.06,0.06,0.02,0.06,0.06,0.05,0.08,0.03,0.05,0.05,0.09,0.04,0.21,0.06,0.02,0.07,0.03,0.06,0.0,0.05,0.03,0.06,0.11,0.06,0.06,0.25,0.1,0.06,0.03,0.07,0.06,0.03,0.03,0.05,0.18,0.03,0.06,0.05,0.04,0.03,0.03,0.03,0.14,0.08,0.09,0.06,0.1,0.03,0.03,0.06,0.04,0.06,0.08,0.02,0.06,0.06,0.03,0.03,0.05,0.06,0.06,0.14,0.03,0.03,0.09,0.06,0.0,0.06,0.1,0.06,0.04,0.02,0.08,0.03,0.06,0.06,0.12,1.0,0.06,0.0,0.05,0.05,0.19,0.02,0.05,0.33,0.03,0.03,0.06,0.05,0.06,0.04,0.06,0.06,0.03,0.1,0.09,0.05,0.06,0.06,0.06,0.09,0.03,0.06,0.0,0.06,0.05,0.06,0.0,0.06,0.1,0.07,0.03,0.06,0.03,0.06,0.09,0.08,0.03,0.05,0.04,0.03
748616,0.04,0.04,0.04,0.09,0.03,0.06,0.07,0.07,0.07,0.44,0.06,0.32,0.08,0.71,0.03,0.04,0.42,0.12,0.11,0.09,0.3,0.06,0.0,0.39,0.08,0.1,0.13,0.04,0.05,0.19,0.32,0.04,0.1,0.47,0.03,0.03,0.47,0.75,0.11,0.01,0.11,0.03,0.08,0.07,0.11,0.03,0.33,0.5,0.29,0.05,0.07,0.24,0.16,0.0,0.03,0.03,0.07,0.43,0.02,0.33,0.08,0.08,0.07,0.04,0.0,0.03,0.0,0.33,0.5,0.12,0.14,0.06,0.03,0.42,0.6,0.4,0.08,0.04,0.43,0.0,0.14,0.19,0.43,0.71,0.37,0.06,0.04,0.33,0.11,0.11,0.33,0.07,0.3,0.37,0.05,0.14,0.06,0.06,0.28,0.37,0.04,0.04,0.35,0.04,0.08,0.07,0.05,0.4,0.08,0.03,0.81,0.62,0.1,0.4,0.32,0.11,0.06,0.15,0.47,0.81,0.07,0.23,0.39,0.29,0.12,0.0,0.29,0.08,0.04,0.08,0.1,0.47,0.04,0.12,0.0,0.05,0.24,0.13,0.81,0.65,0.03,0.3,0.09,0.11,0.08,0.45,0.44,0.04,0.93,0.04,0.04,0.07,0.04,0.12,0.06,0.03,0.58,0.08,0.33,0.32,0.06,1.0,0.08,0.16,0.07,0.06,0.06,0.1,0.05,0.33,0.07,0.71,0.1,0.4,0.16,0.0,0.33,0.32,0.06,0.12,0.06,0.04,0.93,0.05,0.08,0.32,0.71,0.03,0.04,0.12,0.12,0.04,0.08,0.06,0.08,0.04,0.09,0.07,0.04,0.0,0.15,0.65,0.27,0.26,0.0
779472,0.0,0.0,0.0,0.02,0.33,0.03,0.02,0.03,0.03,0.08,0.05,0.03,0.02,0.07,0.0,0.26,0.07,0.15,0.0,0.03,0.07,0.04,0.18,0.04,0.0,0.0,0.06,0.0,0.02,0.05,0.07,0.0,0.03,0.09,0.21,0.21,0.11,0.07,0.19,0.01,0.0,0.03,0.0,0.0,0.0,0.01,0.08,0.03,0.03,0.05,0.0,0.02,0.0,0.11,0.0,0.14,0.0,0.07,0.02,0.08,0.0,0.0,0.03,0.15,0.0,0.03,0.09,0.08,0.07,0.15,0.03,0.0,0.06,0.07,0.08,0.07,0.0,0.21,0.06,0.15,0.03,0.03,0.07,0.07,0.04,0.12,0.0,0.08,0.0,0.22,0.07,0.0,0.07,0.08,0.05,0.03,0.04,0.03,0.08,0.04,0.0,0.12,0.03,0.0,0.0,0.03,0.05,0.07,0.0,0.0,0.07,0.08,0.0,0.07,0.07,0.03,0.04,0.03,0.09,0.07,0.0,0.03,0.04,0.06,0.15,0.09,0.06,0.0,0.11,0.02,0.0,0.09,0.0,0.03,0.02,0.02,0.02,0.0,0.07,0.07,0.1,0.07,0.04,0.02,0.03,0.07,0.09,0.02,0.07,0.26,0.21,0.02,0.0,0.03,0.12,0.14,0.07,0.0,0.08,0.03,0.0,0.08,1.0,0.03,0.0,0.03,0.12,0.09,0.03,0.08,0.0,0.07,0.03,0.07,0.05,0.0,0.08,0.07,0.03,0.03,0.04,0.0,0.07,0.02,0.04,0.07,0.07,0.05,0.0,0.12,0.04,0.16,0.0,0.06,0.04,0.0,0.0,0.03,0.0,0.03,0.0,0.07,0.03,0.05,0.11
683005,0.06,0.06,0.06,0.03,0.03,0.0,0.02,0.05,0.03,0.29,0.02,0.22,0.03,0.15,0.02,0.0,0.42,0.03,0.05,0.0,0.29,0.0,0.03,0.3,0.03,0.03,0.05,0.1,0.04,0.27,0.26,0.06,0.0,0.19,0.0,0.0,0.27,0.19,0.03,0.0,0.11,0.0,0.03,0.14,0.03,0.01,0.21,0.18,0.32,0.08,0.03,0.21,0.05,0.0,0.11,0.0,0.03,0.29,0.0,0.21,0.06,0.06,0.0,0.03,0.02,0.05,0.0,0.21,0.25,0.03,0.08,0.07,0.05,0.28,0.17,0.23,0.03,0.0,0.19,0.03,0.0,0.26,0.29,0.18,0.38,0.05,0.06,0.21,0.08,0.05,0.27,0.11,0.29,0.29,0.04,0.0,0.02,0.02,0.27,0.29,0.06,0.03,0.25,0.06,0.03,0.0,0.02,0.23,0.0,0.07,0.15,0.29,0.07,0.23,0.26,0.05,0.03,0.0,0.19,0.15,0.11,0.37,0.3,0.14,0.03,0.0,0.21,0.09,0.0,0.06,0.03,0.19,0.05,0.14,0.04,0.03,0.21,0.03,0.15,0.23,0.05,0.29,0.06,0.04,0.0,0.3,0.18,0.03,0.16,0.0,0.0,0.02,0.06,0.14,0.02,0.0,0.18,0.06,0.21,0.22,0.05,0.16,0.03,1.0,0.05,0.0,0.05,0.0,0.0,0.26,0.03,0.15,0.08,0.23,0.12,0.12,0.21,0.34,0.02,0.0,0.03,0.06,0.16,0.02,0.09,0.26,0.15,0.0,0.03,0.02,0.0,0.03,0.06,0.0,0.03,0.03,0.03,0.05,0.06,0.0,0.05,0.23,0.23,0.2,0.0
740933,0.15,0.32,0.32,0.07,0.03,0.03,0.02,0.33,0.09,0.07,0.02,0.03,0.03,0.06,0.03,0.0,0.07,0.03,0.46,0.03,0.06,0.0,0.03,0.11,0.55,0.4,0.03,0.21,0.07,0.02,0.03,0.28,0.03,0.04,0.0,0.0,0.06,0.06,0.03,0.0,0.18,0.03,0.45,0.12,0.19,0.01,0.04,0.06,0.03,0.04,0.26,0.02,0.06,0.0,0.06,0.0,0.26,0.03,0.04,0.04,0.48,0.14,0.06,0.0,0.0,0.03,0.0,0.04,0.03,0.03,0.28,0.14,0.0,0.07,0.04,0.03,0.41,0.0,0.03,0.0,0.0,0.02,0.03,0.06,0.07,0.08,0.32,0.04,0.25,0.06,0.03,0.25,0.06,0.03,0.02,0.0,0.07,0.0,0.05,0.11,0.16,0.0,0.0,0.19,0.55,0.03,0.0,0.03,0.03,0.11,0.06,0.07,0.17,0.03,0.03,0.09,0.05,0.0,0.04,0.06,0.25,0.02,0.11,0.0,0.03,0.0,0.06,0.15,0.0,0.02,0.27,0.04,0.26,0.16,0.05,0.0,0.02,0.15,0.06,0.06,0.03,0.06,0.32,0.24,0.05,0.03,0.04,0.08,0.07,0.0,0.0,0.02,0.28,0.16,0.0,0.0,0.03,0.55,0.04,0.03,0.05,0.07,0.0,0.05,1.0,0.05,0.0,0.03,0.05,0.07,0.26,0.06,0.09,0.03,0.04,0.07,0.04,0.06,0.03,0.0,0.05,0.32,0.07,0.1,0.33,0.06,0.06,0.0,0.33,0.05,0.0,0.0,0.65,0.03,0.07,0.17,0.43,0.21,0.32,0.0,0.09,0.06,0.0,0.02,0.0
776498,0.1,0.1,0.1,0.22,0.03,0.08,0.15,0.05,0.11,0.03,0.1,0.06,0.17,0.06,0.1,0.03,0.03,0.06,0.06,0.16,0.03,0.05,0.08,0.03,0.06,0.03,0.1,0.03,0.32,0.02,0.03,0.09,0.14,0.03,0.05,0.05,0.06,0.03,0.03,0.01,0.0,0.05,0.06,0.03,0.04,0.03,0.07,0.03,0.0,0.19,0.03,0.0,0.06,0.03,0.03,0.03,0.03,0.03,0.06,0.07,0.06,0.06,0.25,0.03,0.1,0.11,0.05,0.07,0.03,0.06,0.08,0.07,0.03,0.03,0.07,0.06,0.06,0.0,0.08,0.0,0.18,0.02,0.03,0.06,0.0,0.02,0.1,0.07,0.06,0.0,0.03,0.03,0.03,0.06,0.13,0.18,0.08,0.05,0.05,0.03,0.07,0.03,0.02,0.03,0.06,0.21,0.09,0.06,0.26,0.08,0.06,0.03,0.0,0.06,0.03,0.03,0.05,0.15,0.03,0.06,0.03,0.02,0.03,0.08,0.06,0.05,0.08,0.04,0.0,0.08,0.03,0.03,0.09,0.05,0.04,0.17,0.0,0.06,0.06,0.03,0.0,0.03,0.1,0.11,0.24,0.03,0.03,0.12,0.06,0.03,0.0,0.15,0.09,0.05,0.05,0.03,0.03,0.06,0.07,0.06,0.19,0.06,0.03,0.0,0.05,1.0,0.02,0.0,0.34,0.03,0.03,0.06,0.08,0.06,0.04,0.03,0.07,0.03,0.07,0.2,0.05,0.1,0.06,0.04,0.09,0.03,0.06,0.04,0.09,0.05,0.17,0.03,0.06,0.11,0.12,0.06,0.06,0.09,0.07,0.12,0.06,0.03,0.03,0.02,0.03
779543,0.0,0.0,0.0,0.05,0.08,0.02,0.04,0.03,0.0,0.03,0.04,0.05,0.03,0.05,0.0,0.16,0.06,0.44,0.0,0.07,0.05,0.03,0.11,0.03,0.0,0.0,0.07,0.0,0.02,0.07,0.05,0.0,0.07,0.03,0.19,0.19,0.03,0.06,0.25,0.0,0.03,0.02,0.0,0.0,0.03,0.02,0.03,0.05,0.05,0.08,0.0,0.04,0.0,0.3,0.03,0.32,0.0,0.05,0.02,0.03,0.0,0.0,0.0,0.08,0.07,0.02,0.26,0.03,0.08,0.44,0.02,0.02,0.31,0.03,0.03,0.03,0.0,0.28,0.07,0.22,0.05,0.07,0.05,0.08,0.03,0.26,0.0,0.03,0.03,0.14,0.06,0.0,0.05,0.03,0.04,0.05,0.03,0.07,0.02,0.06,0.03,0.06,0.07,0.0,0.0,0.02,0.02,0.03,0.06,0.02,0.05,0.06,0.0,0.03,0.03,0.03,0.03,0.05,0.03,0.05,0.0,0.07,0.03,0.03,0.44,0.26,0.03,0.04,0.15,0.03,0.0,0.03,0.0,0.04,0.04,0.06,0.04,0.03,0.05,0.06,0.14,0.05,0.0,0.02,0.04,0.03,0.03,0.03,0.06,0.16,0.09,0.04,0.0,0.04,0.07,0.32,0.05,0.0,0.03,0.03,0.02,0.06,0.12,0.05,0.0,0.02,1.0,0.26,0.02,0.03,0.0,0.05,0.02,0.03,0.04,0.06,0.03,0.05,0.05,0.09,0.03,0.0,0.06,0.04,0.0,0.05,0.05,0.02,0.0,0.28,0.06,0.16,0.0,0.05,0.05,0.03,0.0,0.0,0.0,0.03,0.0,0.06,0.02,0.07,0.3
779512,0.0,0.0,0.0,0.02,0.09,0.0,0.04,0.0,0.0,0.0,0.02,0.03,0.02,0.09,0.02,0.21,0.0,0.32,0.06,0.02,0.0,0.05,0.08,0.0,0.03,0.03,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.11,0.11,0.0,0.09,0.27,0.0,0.04,0.02,0.03,0.0,0.04,0.01,0.03,0.06,0.05,0.02,0.03,0.0,0.03,0.23,0.0,0.22,0.03,0.03,0.0,0.03,0.03,0.03,0.0,0.09,0.02,0.0,0.28,0.03,0.06,0.32,0.05,0.0,0.25,0.03,0.0,0.0,0.03,0.25,0.05,0.19,0.03,0.02,0.03,0.09,0.06,0.45,0.0,0.03,0.03,0.18,0.0,0.0,0.0,0.03,0.02,0.03,0.02,0.05,0.0,0.03,0.0,0.1,0.05,0.0,0.03,0.0,0.02,0.0,0.06,0.0,0.09,0.06,0.03,0.0,0.03,0.03,0.02,0.03,0.0,0.09,0.0,0.02,0.0,0.0,0.32,0.28,0.03,0.02,0.06,0.02,0.03,0.0,0.0,0.02,0.02,0.01,0.0,0.06,0.09,0.09,0.15,0.0,0.0,0.04,0.02,0.03,0.0,0.02,0.09,0.21,0.17,0.04,0.0,0.02,0.02,0.22,0.06,0.03,0.03,0.0,0.05,0.1,0.09,0.0,0.03,0.0,0.26,1.0,0.02,0.0,0.03,0.09,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.03,0.02,0.0,0.09,0.02,0.0,0.0,0.09,0.0,0.0,0.13,0.03,0.21,0.03,0.02,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.09,0.03,0.04,0.23
776133,0.06,0.09,0.09,0.22,0.02,0.21,0.14,0.02,0.1,0.03,0.13,0.05,0.13,0.05,0.23,0.03,0.03,0.05,0.07,0.23,0.02,0.03,0.07,0.03,0.05,0.06,0.14,0.06,0.86,0.02,0.02,0.08,0.17,0.03,0.05,0.05,0.05,0.03,0.02,0.01,0.0,0.07,0.05,0.02,0.0,0.03,0.06,0.02,0.02,0.27,0.05,0.0,0.08,0.02,0.02,0.07,0.05,0.02,0.12,0.06,0.05,0.03,0.5,0.02,0.11,0.15,0.1,0.06,0.02,0.05,0.1,0.06,0.1,0.03,0.06,0.05,0.05,0.05,0.12,0.0,0.18,0.0,0.02,0.05,0.03,0.02,0.09,0.06,0.05,0.02,0.03,0.02,0.02,0.05,0.12,0.18,0.15,0.04,0.04,0.03,0.03,0.03,0.02,0.05,0.05,0.25,0.12,0.05,0.15,0.07,0.05,0.03,0.0,0.05,0.02,0.02,0.08,0.16,0.03,0.05,0.02,0.0,0.03,0.05,0.05,0.1,0.07,0.04,0.05,0.11,0.06,0.03,0.05,0.04,0.08,0.14,0.0,0.03,0.05,0.03,0.0,0.02,0.09,0.08,0.18,0.02,0.03,0.17,0.05,0.03,0.05,0.14,0.08,0.04,0.04,0.07,0.02,0.05,0.06,0.08,0.33,0.05,0.03,0.0,0.05,0.34,0.02,0.02,1.0,0.03,0.05,0.05,0.07,0.05,0.04,0.0,0.06,0.02,0.17,0.21,0.08,0.09,0.05,0.1,0.08,0.02,0.05,0.04,0.08,0.04,0.18,0.03,0.05,0.21,0.1,0.08,0.06,0.11,0.06,0.14,0.07,0.03,0.02,0.02,0.02
748653,0.1,0.1,0.1,0.02,0.08,0.03,0.02,0.12,0.07,0.6,0.06,0.35,0.02,0.29,0.03,0.09,0.56,0.04,0.08,0.03,0.47,0.02,0.0,0.35,0.04,0.05,0.06,0.16,0.05,0.25,0.42,0.09,0.03,0.54,0.03,0.03,0.53,0.3,0.04,0.0,0.12,0.03,0.04,0.11,0.06,0.01,0.47,0.27,0.26,0.03,0.04,0.22,0.04,0.0,0.12,0.0,0.04,0.4,0.03,0.47,0.04,0.08,0.03,0.08,0.0,0.07,0.0,0.47,0.4,0.04,0.07,0.06,0.0,0.39,0.47,0.37,0.04,0.0,0.35,0.0,0.03,0.2,0.4,0.29,0.33,0.03,0.1,0.47,0.04,0.04,0.44,0.08,0.47,0.5,0.02,0.03,0.02,0.03,0.35,0.33,0.1,0.09,0.18,0.04,0.04,0.03,0.03,0.37,0.0,0.03,0.29,0.33,0.05,0.37,0.35,0.12,0.02,0.04,0.54,0.29,0.08,0.2,0.35,0.21,0.04,0.0,0.26,0.09,0.0,0.04,0.05,0.54,0.08,0.09,0.03,0.02,0.22,0.04,0.29,0.3,0.04,0.47,0.16,0.05,0.06,0.42,0.5,0.04,0.32,0.09,0.0,0.02,0.09,0.09,0.06,0.0,0.33,0.09,0.47,0.42,0.03,0.33,0.08,0.26,0.07,0.03,0.03,0.0,0.03,1.0,0.04,0.29,0.11,0.37,0.14,0.04,0.47,0.42,0.06,0.04,0.02,0.1,0.32,0.03,0.14,0.5,0.29,0.03,0.09,0.06,0.04,0.09,0.08,0.03,0.04,0.04,0.05,0.12,0.1,0.0,0.04,0.3,0.19,0.16,0.0
736623,0.08,0.12,0.12,0.03,0.0,0.03,0.02,0.1,0.1,0.04,0.03,0.03,0.02,0.07,0.03,0.0,0.03,0.03,0.27,0.03,0.03,0.0,0.03,0.08,0.32,0.44,0.03,0.12,0.05,0.03,0.03,0.2,0.03,0.04,0.0,0.0,0.03,0.07,0.03,0.0,0.04,0.0,0.3,0.09,0.1,0.01,0.04,0.06,0.03,0.02,1.0,0.02,0.07,0.0,0.06,0.0,1.0,0.03,0.05,0.04,0.38,0.07,0.06,0.0,0.0,0.03,0.0,0.04,0.03,0.03,0.25,0.05,0.0,0.03,0.04,0.03,0.32,0.0,0.03,0.0,0.0,0.03,0.03,0.07,0.04,0.06,0.12,0.04,0.22,0.06,0.03,0.14,0.03,0.04,0.0,0.0,0.05,0.0,0.05,0.07,0.08,0.0,0.0,0.26,0.32,0.03,0.0,0.03,0.0,0.09,0.07,0.07,0.25,0.03,0.03,0.06,0.04,0.0,0.04,0.07,0.14,0.03,0.08,0.0,0.03,0.0,0.06,0.13,0.0,0.02,0.37,0.04,0.14,0.08,0.02,0.0,0.02,0.07,0.07,0.07,0.03,0.03,0.23,0.22,0.02,0.03,0.04,0.04,0.07,0.0,0.0,0.02,0.2,0.08,0.0,0.0,0.03,0.32,0.04,0.03,0.03,0.07,0.0,0.03,0.26,0.03,0.0,0.03,0.05,0.04,1.0,0.07,0.17,0.03,0.02,0.04,0.04,0.03,0.03,0.0,0.04,0.12,0.07,0.05,0.2,0.03,0.07,0.0,0.25,0.05,0.0,0.0,0.29,0.03,0.04,0.19,0.4,0.28,0.12,0.0,0.06,0.07,0.0,0.02,0.0
